GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,1992_count,1992_sum,1992_mean,1992_media,1992_stdev,1992_min,1992_max,1992_range,1992_minor,1992_major,1992_varie,1992_varia,1993_count,1993_sum,1993_mean,1993_media,1993_stdev,1993_min,1993_max,1993_range,1993_minor,1993_major,1993_varie,1993_varia,1994_count,1994_sum,1994_mean,1994_media,1994_stdev,1994_min,1994_max,1994_range,1994_minor,1994_major,1994_varie,1994_varia,1995_count,1995_sum,1995_mean,1995_media,1995_stdev,1995_min,1995_max,1995_range,1995_minor,1995_major,1995_varie,1995_varia,1996_count,1996_sum,1996_mean,1996_media,1996_stdev,1996_min,1996_max,1996_range,1996_minor,1996_major,1996_varie,1996_varia,1997_count,1997_sum,1997_mean,1997_media,1997_stdev,1997_min,1997_max,1997_range,1997_minor,1997_major,1997_varie,1997_varia,1998_count,1998_sum,1998_mean,1998_media,1998_stdev,1998_min,1998_max,1998_range,1998_minor,1998_major,1998_varie,1998_varia,1999_count,1999_sum,1999_mean,1999_media,1999_stdev,1999_min,1999_max,1999_range,1999_minor,1999_major,1999_varie,1999_varia,2000_count,2000_sum,2000_mean,2000_media,2000_stdev,2000_min,2000_max,2000_range,2000_minor,2000_major,2000_varie,2000_varia,2001_count,2001_sum,2001_mean,2001_media,2001_stdev,2001_min,2001_max,2001_range,2001_minor,2001_major,2001_varie,2001_varia,2002_count,2002_sum,2002_mean,2002_media,2002_stdev,2002_min,2002_max,2002_range,2002_minor,2002_major,2002_varie,2002_varia,2003_count,2003_sum,2003_mean,2003_media,2003_stdev,2003_min,2003_max,2003_range,2003_minor,2003_major,2003_varie,2003_varia,2004_count,2004_sum,2004_mean,2004_media,2004_stdev,2004_min,2004_max,2004_range,2004_minor,2004_major,2004_varie,2004_varia,2005_count,2005_sum,2005_mean,2005_media,2005_stdev,2005_min,2005_max,2005_range,2005_minor,2005_major,2005_varie,2005_varia,2006_count,2006_sum,2006_mean,2006_media,2006_stdev,2006_min,2006_max,2006_range,2006_minor,2006_major,2006_varie,2006_varia,2007_count,2007_sum,2007_mean,2007_media,2007_stdev,2007_min,2007_max,2007_range,2007_minor,2007_major,2007_varie,2007_varia,2008_count,2008_sum,2008_mean,2008_media,2008_stdev,2008_min,2008_max,2008_range,2008_minor,2008_major,2008_varie,2008_varia,2009_count,2009_sum,2009_mean,2009_media,2009_stdev,2009_min,2009_max,2009_range,2009_minor,2009_major,2009_varie,2009_varia,2010_count,2010_sum,2010_mean,2010_media,2010_stdev,2010_min,2010_max,2010_range,2010_minor,2010_major,2010_varie,2010_varia,2011_count,2011_sum,2011_mean,2011_media,2011_stdev,2011_min,2011_max,2011_range,2011_minor,2011_major,2011_varie,2011_varia,2012_count,2012_sum,2012_mean,2012_media,2012_stdev,2012_min,2012_max,2012_range,2012_minor,2012_major,2012_varie,2012_varia,2013_count,2013_sum,2013_mean,2013_media,2013_stdev,2013_min,2013_max,2013_range,2013_minor,2013_major,2013_varie,2013_varia
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.1_1,Ariana Médina,Ariana Medina,,Delegation,Delegation,,TN.AN.AR,28,1449,51.75,56,11.6576921264153,27,63,36,27,63,16,135.901785714286,28,1285,45.8928571428571,49,14.1858563508927,22,63,41,22,63,20,201.238520408163,28,1430,51.0714285714286,55,11.8198639447952,24,63,39,24,62,16,139.709183673469,28,1522,54.3571428571429,60,10.5295987093332,28,63,35,28,63,15,110.872448979592,28,1522,54.3571428571429,59,9.88582782758908,30,63,33,30,62,15,97.7295918367347,28,1610,57.5,61.5,7.62280413346315,37,63,26,37,63,14,58.1071428571429,28,1615,57.6785714285714,62,7.40199573198516,35,63,28,35,62,12,54.7895408163266,28,1632,58.2857142857143,63,7.45394019896832,38,63,25,47,63,10,55.5612244897959,28,1592,56.8571428571429,61,7.62380803664362,37,63,26,37,63,15,58.1224489795919,28,1609,57.4642857142857,61,6.87377076209237,39,63,24,39,63,13,47.2487244897959,28,1707,60.9642857142857,62.5,3.05289257282736,52,63,11,52,63,10,9.32015306122448,28,1696,60.5714285714286,62.5,3.22300404933671,52,63,11,52,63,10,10.3877551020408,28,1696,60.5714285714286,62,2.48464673298944,54,63,9,54,62,9,6.17346938775511,28,1710,61.0714285714286,62,2.5344564284586,54,63,9,54,63,8,6.4234693877551,28,1694,60.5,62,2.32225260100126,54,62,8,54,62,7,5.39285714285714,28,1743,62.25,62,0.784902177708425,60,63,3,60,62,4,0.616071428571429,28,1756,62.7142857142857,63,0.451753951452625,62,63,1,62,63,2,0.204081632653061,28,1748,62.4285714285714,63,0.775912892228586,61,63,2,61,63,3,0.60204081632653,28,1761,62.8928571428571,63,0.309294787065871,62,63,1,62,63,2,0.095663265306122,28,1762,62.9285714285714,63,0.257539376818856,62,63,1,62,63,2,0.066326530612245,28,1762,62.9285714285714,63,0.257539376818856,62,63,1,62,63,2,0.066326530612245,28,1761,62.8928571428571,63,0.309294787065871,62,63,1,62,63,2,0.095663265306122
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.2_1,Ettadhamen,,,Delegation,Delegation,,TN.AN.ET,12,632,52.6666666666667,54.5,7.94075283304773,38,62,24,38,61,11,63.0555555555556,12,580,48.3333333333333,48.5,7.35224833337092,33,58,25,33,33,12,54.0555555555555,12,620,51.6666666666667,53,7.46473189218623,35,61,26,35,35,12,55.7222222222222,12,639,53.25,55.5,6.67239337369533,39,61,22,39,51,10,44.5208333333333,12,598,49.8333333333333,51.5,8.54237801915967,32,60,28,32,46,9,72.9722222222222,12,554,46.1666666666667,48,10.4149998666453,27,61,34,27,50,11,108.472222222222,12,623,51.9166666666667,54,7.92105141730285,35,61,26,35,61,11,62.7430555555556,12,655,54.5833333333333,56,6.90963497990708,40,63,23,40,59,10,47.7430555555556,12,608,50.6666666666667,51.5,7.498147919468,37,61,24,37,54,10,56.2222222222222,12,664,55.3333333333333,58,6.58702428178983,41,61,20,41,58,8,43.3888888888889,12,691,57.5833333333333,59,3.72957400010004,50,62,12,50,61,9,13.9097222222222,12,572,47.6666666666667,49,8.44919457042438,33,58,25,33,54,10,71.3888888888889,12,630,52.5,54.5,7.86871442274192,35,60,25,35,58,10,61.9166666666667,12,663,55.25,57,5.43330777090101,43,61,18,43,58,9,29.5208333333333,12,639,53.25,55,5.29347082105242,44,60,16,44,48,9,28.0208333333333,12,696,58,59.5,4.41588043316392,48,62,14,48,62,8,19.5,12,696,58,58.5,4.60072458061409,48,63,15,48,56,8,21.1666666666667,12,657,54.75,57.5,6.70975657780022,38,61,23,38,60,8,45.0208333333333,12,726,60.5,62,3.523729085311,51,63,12,51,63,7,12.4166666666667,12,694,57.8333333333333,59,4.68745370347508,47,63,16,47,57,9,21.9722222222222,12,738,61.5,62.5,2.32737334062816,56,63,7,56,63,5,5.41666666666667,12,730,60.8333333333333,62,3.15788255358274,52,63,11,52,63,6,9.97222222222222
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.3_1,Kalaat El Andalous,,,Delegation,Delegation,,TN.AN.KA,360,2167,6.01944444444444,5,3.3511456950028,2,24,22,19,4,19,11.2301774691358,360,1833,5.09166666666667,4,2.94390849419988,2,17,15,2,4,16,8.66659722222222,360,2035,5.65277777777778,4,3.99638629202205,2,25,23,17,4,22,15.9711033950617,360,2333,6.48055555555556,5,4.33649368374218,3,24,21,19,4,21,18.8051774691358,360,2186,6.07222222222222,5,4.18001934545703,3,25,22,23,4,21,17.4725617283951,360,1937,5.38055555555556,4,3.9401296823303,3,35,32,9,4,20,15.5246219135802,360,2032,5.64444444444444,4,4.35969191345523,2,27,25,14,3,23,19.0069135802469,360,2222,6.17222222222222,5,4.45325169031394,2,29,27,2,3,23,19.8314506172839,360,2904,8.06666666666667,6,5.2552619133377,3,30,27,3,5,26,27.6177777777778,360,2956,8.21111111111111,6,5.32028496405648,3,33,30,22,5,27,28.3054320987654,360,3181,8.83611111111111,7,7.01017723574398,3,47,44,14,6,37,49.1425848765432,360,2361,6.55833333333333,4,7.98553814369729,2,51,49,16,3,31,63.7688194444444,360,3036,8.43333333333333,6,8.10425128490528,3,52,49,19,5,35,65.6788888888888,360,2707,7.51944444444444,5,8.92497492820769,2,56,54,14,4,37,79.6551774691358,360,3019,8.38611111111111,5,9.75809216262692,3,55,52,20,4,36,95.220362654321,360,3426,9.51666666666667,6,10.3464835679675,3,59,56,26,5,39,107.049722222222,360,3312,9.2,6,10.6044539908684,3,61,58,18,6,35,112.454444444444,360,3167,8.79722222222222,6,10.0998070969233,3,59,56,15,4,39,102.006103395062,360,4787,13.2972222222222,9,12.5154568015162,4,62,58,20,5,45,156.636658950617,360,4049,11.2472222222222,7,11.9185892647464,3,62,59,21,6,42,142.052770061729,360,4706,13.0722222222222,8,12.7667234792276,4,62,58,20,8,46,162.989228395062,360,4704,13.0666666666667,8,12.8240659179009,3,63,60,3,7,44,164.456666666667
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.4_1,Mnihla,,,Delegation,Delegation,,TN.AN.MN,46,1178,25.6086956521739,24,9.89395568861322,10,55,45,10,17,25,97.890359168242,46,910,19.7826086956522,18,8.4619687386469,10,41,31,14,11,23,71.6049149338374,46,1059,23.0217391304348,19,10.3619058395451,11,48,37,11,16,25,107.369092627599,46,1051,22.8478260869565,20,10.5911517444564,11,49,38,13,14,25,112.172495274102,46,1046,22.7391304347826,19,11.4292431614633,10,48,38,15,14,26,130.627599243856,46,878,19.0869565217391,15.5,11.0509218324055,8,49,41,14,9,24,122.122873345936,46,1046,22.7391304347826,20.5,12.5237770080836,8,51,43,12,22,26,156.844990548204,46,1146,24.9130434782609,21,13.0996616069081,10,53,43,14,10,28,171.601134215501,46,1176,25.5652173913043,23,10.4333332326752,13,48,35,13,15,27,108.854442344045,46,1279,27.804347826087,25.5,11.3762138678021,13,51,38,17,15,26,129.418241965974,46,1638,35.6086956521739,35.5,13.4090791125455,16,60,44,16,17,31,179.803402646503,46,1329,28.8913043478261,25.5,16.7568652522268,9,58,49,10,9,31,280.792533081285,46,1354,29.4347826086957,26.5,14.6831050115031,12,57,45,15,12,32,215.593572778828,46,1433,31.1521739130435,30.5,14.9229432219163,9,58,49,9,12,34,222.694234404537,46,1597,34.7173913043478,34.5,14.915214064371,11,59,48,18,11,27,222.463610586011,46,1666,36.2173913043478,36.5,16.4090550869598,11,62,51,14,49,34,269.257088846881,46,1667,36.2391304347826,37,16.7801445589056,12,63,51,13,12,34,281.573251417769,46,1609,34.9782608695652,34,17.1381713935459,11,61,50,14,13,33,293.716918714556,46,2202,47.8695652173913,51.5,14.1338457421587,21,63,42,21,63,26,199.765595463138,46,1756,38.1739130434783,38,17.2693550492925,14,63,49,14,38,29,298.230623818526,46,2064,44.8695652173913,48.5,15.4464132542043,17,63,46,19,62,29,238.59168241966,46,1907,41.4565217391304,41.5,17.1371786548874,15,63,48,16,63,28,293.682892249528
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.5_1,Raoued,,,Delegation,Delegation,,TN.AN.RA,86,1493,17.3604651162791,12,11.4474662482401,5,62,57,5,10,29,131.044483504597,86,1181,13.7325581395349,10.5,9.21629550080984,5,45,40,18,8,26,84.9401027582477,86,1287,14.9651162790698,11.5,10.2689956421311,5,51,46,5,8,27,105.452271498107,86,1425,16.5697674418605,12.5,11.5703517440396,6,59,53,16,8,29,133.8730394808,86,1455,16.9186046511628,13,11.7851060086194,6,56,50,20,7,29,138.888723634397,86,1191,13.8488372093023,10,10.43531285884,4,57,53,16,7,26,108.895754461871,86,1364,15.8604651162791,12,12.3704099222351,5,58,53,17,7,30,153.027041644132,86,1652,19.2093023255814,14,14.1775422469627,7,62,55,22,9,29,201.002704164413,86,1741,20.2441860465116,16,12.7150670982981,7,61,54,22,9,35,161.672931314224,86,1820,21.1627906976744,17,11.9814395853582,8,58,50,27,15,28,143.554894537588,86,2131,24.7790697674419,20,13.8265006442303,9,62,53,9,14,36,191.1721200649,86,1546,17.9767441860465,13,13.4016458067622,5,59,54,20,9,35,179.604110329908,86,1986,23.093023255814,20,13.4593512983187,7,60,53,8,16,39,181.154137371552,86,2121,24.6627906976744,20.5,14.9063826388161,7,62,55,8,11,37,222.200243374797,86,2352,27.3488372093023,24,14.0627889670449,7,61,54,7,30,41,197.762033531639,86,2601,30.2441860465116,28.5,14.8597599643448,10,62,52,13,15,41,220.812466197945,86,2589,30.1046511627907,27.5,15.4851985365226,8,62,54,8,16,41,239.791373715522,86,2280,26.5116279069767,23,15.1594196566578,6,62,56,6,11,43,229.808004326663,86,3369,39.1744186046512,37.5,13.6724063145235,16,62,46,16,62,40,186.934694429421,86,3151,36.6395348837209,35.5,16.13526600605,9,63,54,9,56,46,260.346809085993,86,3785,44.0116279069767,46,13.5941969374132,15,63,48,15,62,40,184.802190373175,86,3709,43.1279069767442,44,14.6524039710514,13,63,50,14,26,40,214.692942130881
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.6_1,Sebkhet Ariana,,,Water body,Water Body,,,54,964,17.8518518518519,14,8.9492548984433,9,40,31,16,9,22,80.0891632373114,54,757,14.0185185185185,12,6.34645057037787,7,34,27,14,9,19,40.2774348422497,54,874,16.1851851851852,13.5,8.22163828423615,7,37,30,12,7,24,67.5953360768175,54,1039,19.2407407407407,16.5,10.3188701383817,7,42,35,16,17,27,106.479080932785,54,1041,19.2777777777778,16,9.99891969473345,7,44,37,7,8,27,99.9783950617284,54,1022,18.9259259259259,14,9.22125534125301,7,41,34,16,14,23,85.0315500685871,54,1071,19.8333333333333,17,10.2428837085396,8,44,36,12,10,28,104.916666666667,54,1338,24.7777777777778,21,13.7041040982547,8,55,47,8,10,30,187.802469135802,54,1496,27.7037037037037,25,12.1862545967739,12,50,38,16,14,28,148.504801097394,54,1654,30.6296296296296,29.5,11.3240097209037,15,52,37,15,16,28,128.233196159122,54,1883,34.8703703703704,33,12.6389261972045,16,56,40,18,55,31,159.742455418381,54,1249,23.1296296296296,20.5,12.4410406500187,8,52,44,12,9,32,154.779492455418,54,1439,26.6481481481481,21,13.3057456364164,11,55,44,11,12,32,177.042866941015,54,1469,27.2037037037037,24,13.6386971649294,11,54,43,20,11,27,186.014060356653,54,1526,28.2592592592593,27.5,12.5671311219581,11,51,40,11,15,28,157.932784636488,54,1727,31.9814814814815,31,13.5707893554921,14,58,44,18,15,34,184.166323731139,54,1781,32.9814814814815,31.5,14.2458450612421,13,59,46,13,14,35,202.944101508916,54,1578,29.2222222222222,27,13.3966091158348,13,56,43,13,14,31,179.469135802469,54,2249,41.6481481481481,40.5,13.1362622332052,21,62,41,24,23,30,172.561385459534,54,1798,33.2962962962963,30.5,13.4572431682714,14,57,43,14,19,34,181.097393689986,54,2141,39.6481481481481,40,14.306379575932,18,62,44,18,20,30,204.672496570645,54,2083,38.5740740740741,37.5,13.8063349011213,18,60,42,19,26,34,190.61488340192
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.7_1,Sidi Thabet,,,Delegation,Delegation,,TN.AN.ST,157,1374,8.7515923566879,7,4.511353054417,4,24,20,19,5,21,20.3523063815976,157,1240,7.89808917197452,6,4.44095690809585,3,21,18,14,4,19,19.7220982595643,157,1269,8.0828025477707,6,4.26056092631856,3,21,18,19,4,18,18.1523794068725,157,1533,9.76433121019108,7,5.96287893468104,4,29,25,20,6,25,35.5559251896629,157,1399,8.91082802547771,6,5.15909412403145,3,24,21,3,5,22,26.6162521806158,157,1134,7.22292993630573,6,3.81014189032252,3,19,16,15,4,16,14.5171812243904,157,1115,7.10191082802548,6,3.60852619734001,3,18,15,16,4,16,13.0214613168891,157,1308,8.3312101910828,7,4.09814084775634,4,20,16,18,5,17,16.794758408049,157,1717,10.9363057324841,9,5.54963880004692,5,27,22,22,6,23,30.7984908109863,157,1694,10.7898089171975,9,5.15866946645395,5,25,20,19,6,21,26.6118706641243,157,1791,11.4076433121019,9,5.07391909233644,5,24,19,5,6,19,25.7446549555763,157,1120,7.13375796178344,6,3.59599129499041,3,24,21,16,5,14,12.9311533936468,157,1479,9.4203821656051,8,4.32019017706991,4,24,20,19,6,18,18.6640431660514,157,1290,8.21656050955414,7,3.78619428328727,4,24,20,15,5,14,14.3352671507972,157,1531,9.7515923566879,8,4.7291696136955,5,32,27,18,6,19,22.3650452351008,157,1651,10.515923566879,9,4.59244061161688,5,31,26,20,6,19,21.090510771228,157,1714,10.9171974522293,9,5.42107445039094,4,28,24,4,6,22,29.3880481966814,157,1755,11.1783439490446,9,6.71959126819745,4,41,37,25,5,25,45.1529068116354,157,2982,18.9936305732484,15,10.1601800571378,7,56,49,19,9,36,103.22925879346,157,2179,13.8789808917197,11,7.74296501617262,5,41,36,31,6,26,59.9535072416731,157,2644,16.8407643312102,15,8.53953679000052,6,48,42,18,8,30,72.9236885877723,157,2509,15.9808917197452,14,8.61303362639563,6,46,40,31,7,32,74.1843482494219
TUN,Tunisia,TUN.1_1,Ariana,,TUN.1.8_1,Soukra,,,Delegation,Delegation,,TN.AN.LS,58,2602,44.8620689655172,51,17.2201248301996,9,63,54,21,57,28,296.532699167658,58,2376,40.9655172413793,46,15.6314950828628,9,63,54,9,55,35,244.343638525565,58,2418,41.6896551724138,48.5,16.0572326560572,8,62,54,8,50,38,257.834720570749,58,2633,45.3965517241379,53,17.3969276470781,9,63,54,9,62,32,302.653091557669,58,2520,43.448275862069,49.5,16.7837898126622,10,63,53,11,58,35,281.695600475624,58,2476,42.6896551724138,50,17.7319183245158,8,63,55,8,56,34,314.420927467301,58,2746,47.3448275862069,55.5,16.8743344432101,8,63,55,8,60,30,284.743162901308,58,3050,52.5862068965517,60.5,15.3297484995887,10,63,53,10,63,24,235.001189060642,58,3076,53.0344827586207,61,14.3454492570862,15,63,48,15,63,24,205.791914387634,58,3113,53.6724137931034,60.5,13.2916721802043,16,63,47,16,62,22,176.668549346017,58,3234,55.7586206896552,62,12.572973676224,16,63,47,16,63,20,158.07966706302,58,2818,48.5862068965517,55.5,15.8908285007407,9,63,54,9,61,29,252.518430439953,58,3023,52.1206896551724,59,13.8178764601947,15,63,48,15,63,24,190.933709869203,58,3075,53.0172413793103,60.5,14.0436405773529,13,63,50,13,62,23,197.223840665874,58,3005,51.8103448275862,58,13.357752361717,13,62,49,13,61,23,178.429548156956,58,3207,55.2931034482759,61,11.2525991184407,17,62,45,17,61,19,126.620986920333,58,3263,56.2586206896552,62,11.9301997914126,16,63,47,16,63,17,142.32966706302,58,3142,54.1724137931034,61,13.3676629002598,16,63,47,16,63,21,178.694411414982,58,3308,57.0344827586207,62,10.3290108970691,22,63,41,22,63,18,106.688466111772,58,3483,60.051724137931,63,6.76048971342161,28,63,35,28,63,12,45.7042211652794,58,3491,60.1896551724138,63,7.21458507553473,28,63,35,28,63,11,52.0502378121285,58,3523,60.7413793103448,63,5.82965174575749,35,63,28,35,63,12,33.9848394768133
TUN,Tunisia,TUN.2_1,Béja,,TUN.2.1_1,Amdoun,,,Delegation,Delegation,,TN.BJ.AM,343,1228,3.5801749271137,3,1.58853875086084,2,12,10,11,3,11,2.52345536298651,343,1090,3.17784256559767,3,1.75142724264901,2,13,11,13,3,12,3.06749738629313,343,1110,3.23615160349854,3,1.48448901606713,2,12,10,12,3,11,2.20370763882396,343,1307,3.81049562682216,3,1.57113375318241,3,12,9,12,3,10,2.46846127038904,343,1234,3.59766763848397,3,1.40851030015017,2,11,9,2,3,10,1.98390126562912,343,1051,3.06413994169096,3,0.975783935845546,2,8,6,8,3,7,0.952154289454224,343,961,2.80174927113703,3,1.05050168555907,2,8,6,8,3,7,1.10355379136244,343,1224,3.56851311953353,3,1.67135002579352,2,13,11,13,3,11,2.79341090872001,343,1538,4.48396501457726,4,2.49644750953675,3,18,15,12,4,16,6.23225016787223,343,1543,4.49854227405248,4,2.25731675327096,3,16,13,16,4,13,5.09547892459774,343,1474,4.29737609329446,4,2.25984573281117,3,16,13,14,4,14,5.10690273610485,343,865,2.52186588921283,2,1.27728073701112,2,9,7,8,2,8,1.63144608113966,343,1301,3.7930029154519,3,1.58923419498893,3,12,9,10,3,10,2.52566532652211,343,1166,3.39941690962099,3,1.24338469144083,2,9,7,8,3,8,1.5460054909094,343,1325,3.86297376093294,3,1.69939087592164,3,12,9,12,3,10,2.88792934916574,343,1457,4.24781341107872,4,1.5888972100779,3,11,8,9,4,9,2.52459434419333,343,1257,3.66472303206997,3,1.46130173675883,2,11,9,2,3,10,2.13540276585437,343,1188,3.46355685131195,3,1.21613839534082,2,10,8,9,3,9,1.47899259662216,343,1830,5.33527696793003,5,1.98716225924597,3,15,12,3,5,13,3.94881384457156,343,1432,4.17492711370262,4,1.54193507327572,3,12,9,12,4,10,2.37756377019779,343,1732,5.04956268221574,4,2.17067483857378,3,15,12,14,4,13,4.71182925481729,343,1860,5.42274052478134,5,2.56217303903225,3,18,15,14,4,16,6.56473068194375
TUN,Tunisia,TUN.2_1,Béja,,TUN.2.2_1,Béja Nord,,,Delegation,Delegation,,TN.BJ.BN,599,2423,4.04507512520868,3,4.29888811412073,2,46,44,11,3,24,18.4804390177285,599,2001,3.34056761268781,3,3.01540956362705,2,36,34,10,3,20,9.09269483641351,599,2042,3.40901502504174,3,3.95314614860472,2,47,45,10,3,22,15.6273644722283,599,2511,4.19198664440735,3,4.18178767276094,2,53,51,2,3,24,17.4873481400553,599,2400,4.00667779632721,3,4.26226469323721,2,53,51,10,3,25,18.1669003152165,599,2016,3.36560934891486,3,2.70747791287894,2,42,40,15,3,17,7.33043664872729,599,1874,3.12854757929883,2,3.87515993237601,2,41,39,8,2,20,15.0168645014925,599,2218,3.70283806343906,3,3.54393016680619,2,44,42,12,3,22,12.5594410271989,599,2675,4.46577629382304,4,3.70737846938116,3,49,46,16,4,22,13.744655115231,599,2908,4.85475792988314,4,4.07737434333983,3,46,43,14,4,21,16.6249815357259,599,3044,5.08180300500835,4,5.16262923864224,3,50,47,12,4,28,26.6527406556838,599,1769,2.95325542570952,2,4.08112458557746,2,45,43,14,2,23,16.6555778830048,599,2660,4.44073455759599,3,4.78095241257184,3,55,52,12,3,26,22.8575059712765,599,2636,4.40066777963272,3,5.7318836670069,2,48,46,12,3,27,32.8544903721004,599,2940,4.90818030050083,3,6.45466402484813,3,55,52,13,3,31,41.6626876736687,599,3225,5.38397328881469,4,6.25817477318858,3,53,50,11,4,34,39.164751491774,599,2851,4.75959933222037,3,6.1873075834016,2,50,48,13,3,30,38.282775131619,599,2735,4.56594323873122,3,5.58724179312789,2,52,50,12,3,30,31.217270854875,599,3866,6.45409015025042,5,6.97150023244913,4,59,55,13,4,34,48.6018154910382,599,3105,5.18363939899833,4,5.9294403796263,3,57,54,12,4,29,35.1582632155429,599,3757,6.27212020033389,4,7.0512841638604,3,56,53,3,4,37,49.7206083595085,599,3536,5.90317195325543,4,7.05504046400368,3,60,57,13,4,34,49.7735959487293
